algo1 : 0 | 2400000167 is prime
algo1 : 0 | 2400000167 Processing time: 25253 milliseconds(s)
algo1 : 1 | 2640000217 is prime
algo1 : 1 | 2640000217 Processing time: 26385 milliseconds(s)
algo1 : 2 | 2880000251 is prime
algo1 : 2 | 2880000251 Processing time: 29554 milliseconds(s)
algo1 : 3 | 3120000253 is prime
algo1 : 3 | 3120000253 Processing time: 31851 milliseconds(s)
algo1 : 4 | 3360000257 is prime
algo1 : 4 | 3360000257 Processing time: 34569 milliseconds(s)
algo1 : 5 | 3600000269 is prime
algo1 : 5 | 3600000269 Processing time: 36858 milliseconds(s)
algo1 : 6 | 3840000289 is prime
algo1 : 6 | 3840000289 Processing time: 39919 milliseconds(s)
algo1 : 7 | 4080000293 is prime
algo1 : 7 | 4080000293 Processing time: 40929 milliseconds(s)
algo1 : 8 | 4320000329 is prime
algo1 : 8 | 4320000329 Processing time: 44829 milliseconds(s)
algo1 : 9 | 4560000343 is prime
algo1 : 9 | 4560000343 Processing time: 49687 milliseconds(s)
algo1 : 10 | 4800000347 is prime
algo1 : 10 | 4800000347 Processing time: 53110 milliseconds(s)
algo1 : 11 | 5040000443 is prime
algo1 : 11 | 5040000443 Processing time: 58305 milliseconds(s)
algo1 : 12 | 5280000461 is prime
algo1 : 12 | 5280000461 Processing time: 63214 milliseconds(s)
algo1 : 13 | 5520000463 is prime
algo1 : 13 | 5520000463 Processing time: 69157 milliseconds(s)
algo1 : 14 | 5760000473 is prime
algo1 : 14 | 5760000473 Processing time: 72427 milliseconds(s)
algo1 : 15 | 6000000511 is prime
algo1 : 15 | 6000000511 Processing time: 77649 milliseconds(s)
algo1 : 16 | 6240000581 is prime
algo1 : 16 | 6240000581 Processing time: 81808 milliseconds(s)
algo1 : 17 | 6480000589 is prime
algo1 : 17 | 6480000589 Processing time: 86942 milliseconds(s)
algo1 : 18 | 6720000593 is prime
algo1 : 18 | 6720000593 Processing time: 92948 milliseconds(s)
algo1 : 19 | 6960000613 is prime
algo1 : 19 | 6960000613 Processing time: 99590 milliseconds(s)
algo2 : 0 | 2400000167 is prime
algo2 : 0 | 2400000167 Processing time: 13099 milliseconds(s)
algo2 : 1 | 2640000217 is prime
algo2 : 1 | 2640000217 Processing time: 14321 milliseconds(s)
algo2 : 2 | 2880000251 is prime
algo2 : 2 | 2880000251 Processing time: 15162 milliseconds(s)
algo2 : 3 | 3120000253 is prime
algo2 : 3 | 3120000253 Processing time: 16060 milliseconds(s)
algo2 : 4 | 3360000257 is prime
algo2 : 4 | 3360000257 Processing time: 17715 milliseconds(s)
algo2 : 5 | 3600000269 is prime
algo2 : 5 | 3600000269 Processing time: 19383 milliseconds(s)
algo2 : 6 | 3840000289 is prime
algo2 : 6 | 3840000289 Processing time: 19918 milliseconds(s)
algo2 : 7 | 4080000293 is prime
